epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,eval_macro_f1
1,1.5574971242029159,0.336364412568306,1.4299532856260027,0.40714285714285714,0.40709391167300507
2,1.0672598008901044,0.5625,1.0781516007014684,0.55,0.5312784713134595
3,0.8033435455436915,0.6834016393442623,1.032765487262181,0.6,0.6027688867185034
4,0.593737994223996,0.7748890027322405,0.7824656741959708,0.7285714285714285,0.727295931372414
5,0.5639881683829052,0.8002903005464481,0.8398225052016122,0.7142857142857143,0.7039025030457098
6,0.36122813885980615,0.8713285519125683,0.7638836128371103,0.7357142857142858,0.7332731073276917
7,0.2450594830382717,0.9153859289617486,0.9655552898134504,0.7357142857142858,0.7287159285203496
8,0.17080363602748985,0.942324112021858,1.0495870998927526,0.7714285714285715,0.7694684156772021
9,0.13735902905871308,0.9540215163934426,1.0708724124091011,0.7857142857142857,0.7815531198509923
10,0.11081793747557317,0.9654200819672131,1.0478661571230208,0.7642857142857142,0.7605035865905432
11,0.07434145243115764,0.9777151639344263,1.28227516242436,0.7571428571428571,0.7527508720593826
12,0.07010363261698863,0.9785689890710383,1.4376766068594797,0.7714285714285715,0.7713388291028043
13,0.05852369921119079,0.98224043715847,1.2655960627964564,0.7785714285714286,0.7772087664261506
14,0.06198824694268202,0.9808316256830601,1.2429277658462525,0.8,0.7985922244538908
15,0.040509392130773904,0.9892418032786885,1.650062370300293,0.7571428571428571,0.7540038473405238
16,0.04974110700352922,0.9848872950819673,1.5476004021508354,0.7785714285714286,0.7783548206791652
17,0.02775959337964817,0.9921021174863388,1.4252485343388148,0.7785714285714286,0.7760667673523859
18,0.041581037332166414,0.9884733606557377,1.2592419079371862,0.8142857142857143,0.8118482037130348
19,0.009810148620637022,0.9975665983606558,1.2406543936048235,0.8285714285714286,0.8253461337398861
20,0.006775535233897702,0.9983777322404371,1.4753355639321464,0.8142857142857143,0.8105548220083104
21,0.004501659401801868,0.9988473360655737,1.420268964767456,0.8214285714285714,0.8194625632032856
22,0.07376343948395078,0.9783128415300546,1.4786133357456752,0.7857142857142857,0.7832323232323234
23,0.03113560035221706,0.9912482923497268,1.533024321283613,0.7857142857142857,0.7834700953326436
24,0.005831872593341752,0.9991034836065574,1.3084603786468505,0.7928571428571428,0.7904809389719875
25,0.0045755479975903785,0.9990181010928961,1.5366363048553466,0.7857142857142857,0.7833571202088562
26,0.002399374852389545,0.999786543715847,1.6078179018838066,0.7928571428571428,0.7906402883214477
27,0.0018698928473438415,0.9997438524590164,1.5536159106663294,0.8071428571428572,0.8040742478149703
28,0.0013309675248154016,0.9999573087431693,1.6539942673274448,0.7928571428571428,0.7892063783873692
29,0.0010614709659381592,0.9999573087431693,1.7006427764892578,0.8,0.7956457723267633
30,0.0008595240041324131,0.9999573087431693,1.720500898361206,0.7928571428571428,0.7893636823237431
31,0.0007878828861275459,0.9999573087431693,1.6960811410631453,0.7928571428571428,0.7893636823237431
32,0.0006487526560470696,1.0,1.7773397445678711,0.7857142857142857,0.7815012445084192
33,0.0005318992670617179,0.9999573087431693,1.7859890324728829,0.8,0.7963453810744756
34,0.00044191627205547346,0.9999573087431693,1.8382336957114083,0.7928571428571428,0.7885934430899795
35,0.0003736089195631816,1.0,1.8795732566288539,0.7928571428571428,0.7893636823237431
36,0.0003304997319657778,1.0,1.891982752936227,0.7928571428571428,0.7882197295956986
37,0.00028542404198148187,1.0,1.9214026382991245,0.8,0.7961078637826948
38,0.0002601596548390903,1.0,1.9480637073516847,0.7928571428571428,0.7882197295956986
39,0.00020812540443116657,1.0,1.9584979261670794,0.7928571428571428,0.7882197295956986
40,0.00018839748839728784,1.0,1.9798630918775286,0.7928571428571428,0.7884572468874795
41,0.00016958476632675715,1.0,2.019221489770072,0.7928571428571428,0.7884572468874795
42,0.00015052296188653605,1.0,2.022511570794242,0.7928571428571428,0.7882197295956986
43,0.00013082244774518162,1.0,2.067807633536203,0.7928571428571428,0.7882197295956986
44,0.00011960835856042962,1.0,2.0862981864384245,0.7928571428571428,0.7882197295956986
45,0.00010357081039534828,1.0,2.0946413244519917,0.7928571428571428,0.788204906310435
46,9.388782841522728e-05,1.0,2.1184118747711183,0.7928571428571428,0.788204906310435
47,8.344942039424933e-05,1.0,2.135482236317226,0.7928571428571428,0.7882197295956986
48,7.710769739767914e-05,1.0,2.147418028967721,0.7928571428571428,0.788204906310435
49,6.802479615519294e-05,1.0,2.178912196840559,0.7928571428571428,0.7882197295956986
50,6.173077704534577e-05,1.0,2.195672355379377,0.7928571428571428,0.788204906310435
51,5.6530501299432435e-05,1.0,2.218689230510167,0.7928571428571428,0.788204906310435
52,5.1169014123778614e-05,1.0,2.231916781834194,0.8,0.795656602974601
53,4.738314743266667e-05,1.0,2.2530732018607003,0.7928571428571428,0.788204906310435
54,4.323416518066855e-05,1.0,2.2514621802738737,0.7928571428571428,0.788204906310435
55,3.956204447425333e-05,1.0,2.2971497467585973,0.7928571428571428,0.7883411025129351
56,3.620211078629185e-05,1.0,2.315971292768206,0.8071428571428572,0.8035163108899743
57,3.263718686280473e-05,1.0,2.336647353853498,0.7928571428571428,0.788204906310435
58,3.0260589115303823e-05,1.0,2.322774716785976,0.8,0.7970093102653267
59,2.759611884034538e-05,1.0,2.36617774282183,0.8071428571428572,0.8035163108899743
60,2.547909122862461e-05,1.0,2.3723510469709126,0.8071428571428572,0.8035163108899743
61,2.365652636036514e-05,1.0,2.358747611727033,0.8142857142857143,0.8104796318067836
62,2.284424993779451e-05,1.0,2.3897352150508335,0.8,0.7970093102653267
63,2.0656040372860383e-05,1.0,2.4178331102643695,0.8071428571428572,0.8035163108899743
64,1.8690069384339822e-05,1.0,2.427911731175014,0.8,0.7970093102653267
65,1.736479932750641e-05,1.0,2.4462591103145055,0.8071428571428572,0.8035163108899743
66,1.621414600125857e-05,1.0,2.4610364368983677,0.8,0.7970093102653267
67,1.4964894264933027e-05,1.0,2.477890511921474,0.8071428571428572,0.8035163108899743
68,1.3893918514212267e-05,1.0,2.4900923797062466,0.8071428571428572,0.8035163108899743
69,1.297183836950502e-05,1.0,2.5226006099155973,0.8,0.7972268728788189
70,1.2123216228261657e-05,1.0,2.519667441504342,0.8071428571428572,0.8035163108899743
71,1.1327859816506656e-05,1.0,2.539994410106114,0.8,0.7972268728788189
72,1.0648867992429467e-05,1.0,2.552910702569144,0.8071428571428572,0.8036094407703382
73,9.96015862499698e-06,1.0,2.5669032505580356,0.8,0.7970093102653267
74,9.353054963101812e-06,1.0,2.5726528780800955,0.8,0.7972268728788189
75,8.768876008507305e-06,1.0,2.5809665066855296,0.8071428571428572,0.8036094407703382
76,8.329929925344376e-06,1.0,2.5929762363433837,0.8071428571428572,0.8036094407703382
77,7.821852453490152e-06,1.0,2.6082442351749964,0.8,0.7972268728788189
78,7.3986352748254485e-06,1.0,2.6255099160330637,0.8,0.7972268728788189
79,6.97922983877628e-06,1.0,2.6283394404820033,0.8,0.7972268728788189
80,6.637425224757639e-06,1.0,2.6488785811832973,0.8,0.7972268728788189
81,6.3456032904851565e-06,1.0,2.66699663570949,0.8,0.7972268728788189
82,6.05032968093435e-06,1.0,2.6653676782335554,0.8,0.7972268728788189
83,5.76882690647388e-06,1.0,2.6824090480804443,0.8,0.7972268728788189
84,5.5738882355513565e-06,1.0,2.6745456627437045,0.8,0.7972268728788189
85,5.325182728409375e-06,1.0,2.683878823689052,0.8,0.7972268728788189
86,5.123010566876474e-06,1.0,2.690173612322126,0.8,0.7972268728788189
87,4.948532026990834e-06,1.0,2.7071407931191582,0.7928571428571428,0.7904430307573266
88,4.7765742793358855e-06,1.0,2.7125583580562047,0.8,0.7972268728788189
89,4.628453420233806e-06,1.0,2.7216160093035016,0.8,0.7972268728788189
90,4.5162332644817504e-06,1.0,2.7295907633645196,0.8,0.7972268728788189
91,4.39556328761245e-06,1.0,2.72881578036717,0.8,0.7972268728788189
92,4.2952417379389564e-06,1.0,2.735641288757324,0.8,0.7972268728788189
93,4.216959934856675e-06,1.0,2.7403630461011614,0.8,0.7972268728788189
94,4.140426073737997e-06,1.0,2.7448765414101737,0.8,0.7972268728788189
95,4.081187098948701e-06,1.0,2.748213768005371,0.8,0.7972268728788189
96,4.036696075255335e-06,1.0,2.7496713161468507,0.8,0.7972268728788189
97,4.000891887992479e-06,1.0,2.751389639718192,0.8,0.7972268728788189
98,3.974757332537697e-06,1.0,2.752046891621181,0.8,0.7972268728788189
99,3.957252059707139e-06,1.0,2.7523911680494035,0.8,0.7972268728788189
100,3.948897320856179e-06,1.0,2.7525187015533445,0.8,0.7972268728788189
