epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,eval_macro_f1
1,1.7994209352086803,0.17725409836065573,1.7963934183120727,0.16428571428571428,0.09512887524291658
2,1.7806949771818568,0.19774590163934427,1.787273665836879,0.17142857142857143,0.10393522877047638
3,1.7683356433618265,0.21209016393442623,1.7704643828528268,0.2714285714285714,0.2435489798756382
4,1.7581662525896167,0.24282786885245902,1.7548854998179844,0.2357142857142857,0.19243494285855636
5,1.7526477086739463,0.22540983606557377,1.748113683291844,0.24285714285714285,0.198023658427359
6,1.7375232997487804,0.25922131147540983,1.733221285683768,0.2642857142857143,0.21994992368506797
7,1.7234426365524043,0.2510245901639344,1.7167200769696918,0.25,0.22513221059732688
8,1.69448721408844,0.2612704918032787,1.689452144077846,0.2714285714285714,0.25082772077307597
9,1.6650797695410056,0.29098360655737704,1.671798460824149,0.25,0.19823862993238317
10,1.6326337955037102,0.30635245901639346,1.6345856496265956,0.3,0.27372202265819284
11,1.6016267362188121,0.319672131147541,1.6104046549115862,0.2857142857142857,0.25681584214100245
12,1.5681983584263286,0.32991803278688525,1.5795860256467547,0.30714285714285716,0.2935880410493039
13,1.5499460013186346,0.33094262295081966,1.5816410200936453,0.2857142857142857,0.26236231521483216
14,1.4980195584844371,0.3637295081967213,1.5280253512518747,0.3357142857142857,0.3223518048667974
15,1.4892585160302334,0.3719262295081967,1.522268785749163,0.3142857142857143,0.29062627338489405
16,1.4506536409503124,0.367827868852459,1.5139643941606795,0.37857142857142856,0.37123505981976157
17,1.416335105895996,0.38422131147540983,1.4720206669398717,0.38571428571428573,0.3841232573116631
18,1.374720540203032,0.4375,1.495959939275469,0.40714285714285714,0.3889146305226829
19,1.3602778305772876,0.4139344262295082,1.4395079612731934,0.37142857142857144,0.36924972671509043
20,1.3340852612354717,0.4334016393442623,1.3701020683561052,0.44285714285714284,0.42876974353781544
21,1.3004834339266917,0.45594262295081966,1.3860702412469046,0.4142857142857143,0.40919822895341956
