class_index,class_name,f1_mean,f1_std
0,0,0.968421052631579,0.0
1,1,0.968421052631579,0.0
2,2,0.9583333333333334,0.0
3,3,0.9583333333333334,0.0
4,4,0.9512195121951219,0.0
5,5,0.9347826086956522,0.0
