epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,eval_macro_f1
1,1.6093036542173291,0.31471994535519127,1.3344370262963432,0.44285714285714284,0.4265607753444492
2,1.2948169118719675,0.4865095628415301,1.1776542799813408,0.5571428571428572,0.5424666682379932
3,1.108864999208294,0.5838883196721312,0.9783948234149388,0.5928571428571429,0.58308912514051
4,1.0146566596838946,0.6405396174863388,0.8740983264786857,0.7071428571428572,0.7030609892458085
5,0.8243711919732433,0.7374487704918032,0.7508118748664856,0.7428571428571429,0.7345071560588802
6,0.7390695189843413,0.7794996584699454,0.6805034211703709,0.7214285714285714,0.713855850409553
7,0.6883240040045618,0.8123292349726776,0.6165975689888,0.7857142857142857,0.7811930830367432
8,0.6110212821615199,0.8368340163934426,0.6705525858061654,0.7357142857142858,0.7305366749409691
9,0.5573235845060948,0.8557889344262295,0.5424499256270272,0.8142857142857143,0.8116306435208874
10,0.5298448651621902,0.8728227459016393,0.6103083423205784,0.7642857142857142,0.7602299770162215
11,0.4445610727117361,0.8960467896174863,0.5730722614697048,0.8071428571428572,0.8004375696767001
12,0.4388707616860098,0.8980959699453552,0.5582411783082145,0.8357142857142857,0.8358610478241149
13,0.48554387102361585,0.8940829918032787,0.518400582245418,0.7857142857142857,0.7818725439009192
14,0.4208315582996835,0.906036543715847,0.5132211668150766,0.8071428571428572,0.8065388350838331
15,0.4859921551752286,0.8933572404371585,0.48003250190189906,0.8428571428571429,0.8389081337563433
16,0.4022738064735965,0.915343237704918,0.49901603971208847,0.85,0.8468912529550826
17,0.3498476766497711,0.9280652322404371,0.4288075685501099,0.8714285714285714,0.8700314810432487
18,0.38249367100944937,0.9155993852459017,0.4382212247167315,0.85,0.8497861663483502
19,0.4054932690892226,0.9144040300546448,0.48626960515975953,0.85,0.8489470537342877
20,0.35608207773356165,0.924223019125683,0.47295686772891454,0.8714285714285714,0.8727549936615618
21,0.3311712107025698,0.9286629098360656,0.49463871717453,0.8357142857142857,0.8349865385562181
22,0.41529482116546135,0.9080003415300546,0.4995566700186048,0.8571428571428571,0.8580405075096079
23,0.39505921047730524,0.9219176912568307,0.5382728951317923,0.8142857142857143,0.8148682221609421
24,0.42518973245687497,0.9082564890710383,0.4345562790121351,0.8785714285714286,0.8781461083741487
