class_index,class_name,f1,support
0,0,0.968421052631579,47
1,1,0.968421052631579,47
2,2,0.9583333333333334,47
3,3,0.9583333333333334,48
4,4,0.9512195121951219,43
5,5,0.9347826086956522,46
