class_index,class_name,f1_mean,f1_std
0,0,0.8676851851851851,0.015181232547903515
1,1,0.7531957716289513,0.07596895222304349
2,2,0.5279811465211982,0.06959680129523442
3,3,0.5889044032608389,0.04565981438659167
4,4,0.5856972901520159,0.03507793182776829
5,5,0.5768939393939394,0.016502288568781772
