class_index,class_name,f1_mean,f1_std
0,0,0.9207573632538569,0.02260133316519977
1,1,0.8442754694373841,0.030005896787531832
2,2,0.7916487369511515,0.018533415976894903
3,3,0.7519877366754262,0.025621151371564444
4,4,0.7410217805881762,0.044839261982256684
5,5,0.7115158723062637,0.011721640840335229
